Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Emily.R,2022.02.14 07:41:26 EDT,6653,VPN,0,1,172.26.38.230,10.128.20.57,UDP,1194,600093947,
openvpn-server,Brittany.I,2022.02.14 07:53:30 EDT,38557,VPN,0,1,172.16.60.65,10.128.20.22,UDP,1194,8398755639,
openvpn-server,Anna.Q,2022.02.14 08:03:34 EDT,9361,VPN,0,1,172.29.146.175,10.128.20.88,UDP,1194,529476882,
openvpn-server,Victoria.T,2022.02.14 08:29:04 EDT,5084,VPN,0,1,172.24.12.28,10.128.20.107,UDP,1194,465557132,
openvpn-server,Angela.J,2022.02.14 08:52:29 EDT,31583,VPN,0,1,172.27.150.246,10.128.20.185,UDP,1194,672212572,
openvpn-server,Isabella.L,2022.02.14 09:08:57 EDT,29314,VPN,0,1,172.24.228.147,10.128.20.162,UDP,1194,7652536956,
openvpn-server,Alexander.R,2022.02.14 09:20:46 EDT,5080,VPN,0,1,172.28.228.213,10.128.20.169,UDP,1194,1258534440,
openvpn-server,Christina.B,2022.02.14 09:56:13 EDT,4119,VPN,0,1,172.19.183.125,10.128.20.82,UDP,1194,930276150,
openvpn-server,Alice.C,2022.02.14 10:16:19 EDT,,VPN,0,0,172.24.67.68,,UDP,1194,,user not found
openvpn-server,Samuel.F,2022.02.14 10:26:21 EDT,24471,VPN,0,1,172.21.49.193,10.128.20.149,UDP,1194,2593558935,
openvpn-server,Eugene.E,2022.02.14 10:54:25 EDT,27166,VPN,0,1,172.22.239.108,10.128.20.225,UDP,1194,494475532,
openvpn-server,Patrick.M,2022.02.14 11:13:35 EDT,,VPN,0,0,172.18.197.62,,UDP,1194,,user not found
openvpn-server,Anna.Q,2022.02.14 11:52:43 EDT,,VPN,0,0,172.17.124.102,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Sharon.P,2022.02.14 12:09:43 EDT,18469,VPN,0,1,172.30.133.142,10.128.20.6,UDP,1194,1394464907,
openvpn-server,Bruce.F,2022.02.14 12:25:01 EDT,11275,VPN,0,1,172.16.91.108,10.128.20.193,UDP,1194,1942716325,
openvpn-server,Mason.A,2022.02.14 12:53:10 EDT,5960,VPN,0,1,172.19.207.68,10.128.20.230,UDP,1194,746972760,
